//Actividades relacionadas con los servicios de impermeabilizacion

    //Sistemas de impermeabilización

Vaciado del tanque con Motobomba sumergible|94|400000
Preparación de superficies con pulidora para retiro de impurezas y uniformizar áreas|MTK|3500
Construcción de ducto para compuerta en tanque (0,7m x 0,8m x 0,85m)|94|500000
Aplicación de recubrimiento epoxico de alta calidad en cielo, muros y piso de los tanques|MTK|45000
Aplicación de recubrimiento epoxico de alta calidad en muros de compuertas|MTK|45000
Instalación del Sistema de Membrana TANQUES PVC Danopol DW HS 1,2mm|MTK|78000
Sello perimetral de la Membrana y de accesorios con Sika Primer 215 + Sikalex 1A|LM|8000
Aplicación recubrimiento Epoxico para tanques de almacenamiento de agua potable en Cielo y salpicadero|MTK|45000
Sello de borde perimetral de membrana con poliuretano|LM|5500
Suministro e instalación Membrana PVC TANQUES mediante sistema de termo fundido|MTK|78000
Aplicación de recubrimiento epoxico TOC-8020 de alta calidad en cielo de tanques|MTK|45000

//Actividades relacionadas con los servicios de arquitectura de pisos

Fundición de piso en concreto 3500 PSI reforzado con Fibra Sintética Estructural TUF Stand SF (E=10cm)|MTK|52000
Construcción piso en concreto Estampado con el diseño y color escogido por el cliente|MTK|23000
Fabricacion de moldes para muro estampado|94|100000
Aplicación de piso en poliuretano Purcem Gloss|MTK|112000
Mano de obra estampado de piso en concreto. Incluye Color Hardener y desmoldante|MTK|20000
Sello de concreto con Clear Seal|MTK|12000
Construcción piso industrial reforzado con endurecer silicio para pisos(Alisado con Helicóptero)|MTK|19000
Construcción de mediacaña con mortero 1:3 adherido a junta entre muro-piso y muro-muro|MTK|14000

//Actividades relacionadas con le aseo

Limpieza permanente de obra|94|800000
Hidrolavado de superficies|MTK|15000
Hidrolavado de superficies con 10% de hipoclorito|MTK|15000
Hidrolavado industrial + Detergente Industrial neutro|MTK|4500
Hidrolavado y retiro de grasa con Greese Away|MTK|2300
Limpieza de fisuras o grietas|LM|20000
Retiro de manto asfáltico y de césped:sintético existente|MTK|9800
